"","name","budget","company","country","director","genre","gross","rating","released","runtime","score","star","votes","writer","year","number of reviews"
"1","10 Cloverfield Lane",1.5e+07,"Paramount Pictures","USA","Dan Trachtenberg","Drama","71897215.0","PG-13","2016-03-11",104,"7.2","John Goodman","208655","Josh Campbell",2016,440
"2","10 Things I Hate About You",3e+07,"Touchstone Pictures","USA","Gil Junger","Comedy","38176108.0","PG-13","1999-03-31",97,"7.2","Heath Ledger","244103","Karen McCullah",1999,549
"3","102 Dalmatians",8.5e+07,"Cruella Productions","USA","Kevin Lima","Adventure","66957026.0","G","2000-11-22",100,"4.8","Glenn Close","28524","Dodie Smith",2000,77
"4","12 Rounds",2.2e+07,"Fox Atomic","USA","Renny Harlin","Action","12232937.0","PG-13","2009-03-27",108,"5.6","John Cena","24250","Daniel Kunka",2009,113
"5","12 Years a Slave",2e+07,"Regency Enterprises","USA","Steve McQueen","Biography","56671993.0","R","2013-11-08",134,"8.1","Chiwetel Ejiofor","503763","John Ridley",2013,695
"6","13 Going on 30",3.7e+07,"Revolution Studios","USA","Gary Winick","Comedy","57231747.0","PG-13","2004-04-23",98,"6.1","Jennifer Garner","132486","Josh Goldsmith",2004,339
"7","13 Hours",5e+07,"Paramount Pictures","Malta","Michael Bay","Action","52853219.0","R","2016-01-15",144,"7.3","John Krasinski","82656","Chuck Hogan",2016,219
"8","1408",2.5e+07,"Dimension Films","USA","Mikael Håfström","Horror","71985628.0","PG-13","2007-06-22",104,"6.8","John Cusack","226504","Matt Greenberg",2007,580
"9","15 Minutes",6e+07,"New Line Cinema","USA","John Herzfeld","Action","24403552.0","R","2001-03-09",120,"6.1","Robert De Niro","44327","John Herzfeld",2001,265
"10","16 Blocks",5.2e+07,"Alcon Entertainment","USA","Richard Donner","Action","36883539.0","PG-13","2006-03-03",102,"6.6","Bruce Willis","116840","Richard Wenk",2006,305
"11","17 Again",2e+07,"New Line Cinema","USA","Burr Steers","Comedy","64167069.0","PG-13","2009-04-17",102,"6.4","Zac Efron","155399","Jason Filardi",2009,185
"12","2 Fast 2 Furious",7.6e+07,"Universal Pictures","USA","John Singleton","Action","127154901.0","PG-13","2003-06-06",107,"5.9","Paul Walker","211309","Gary Scott Thompson",2003,370
"13","2 Guns",6.1e+07,"Universal Pictures","USA","Baltasar Kormákur","Action","75612460.0","R","2013-08-02",109,"6.7","Denzel Washington","168840","Blake Masters",2013,172
"14","200 Cigarettes",6e+06,"Dogstar Films","USA","Risa Bramon Garcia","Comedy","6851636.0","R","1999-02-26",101,"5.9","Ben Affleck","13466","Shana Larsen",1999,182
"15","2012",2e+08,"Columbia Pictures","USA","Roland Emmerich","Action","166112167.0","PG-13","2009-11-13",158,"5.8","John Cusack","303766","Roland Emmerich",2009,1055
"16","2046",1.2e+07,"Jet Tone Films","Hong Kong","Kar-Wai Wong","Drama","261481.0","R","2004-09-29",129,"7.5","Tony Chiu-Wai Leung","44039","Kar-Wai Wong",2004,210
"17","21",3.5e+07,"Columbia Pictures","USA","Robert Luketic","Crime","81159365.0","PG-13","2008-03-28",123,"6.8","Jim Sturgess","201705","Peter Steinfeld",2008,278
"18","21 & Over",1.3e+07,"Relativity Media","USA","Jon Lucas","Comedy","25682380.0","R","2013-03-01",93,"5.9","Miles Teller","64737","Jon Lucas",2013,84
"19","21 Grams",2e+07,"This Is That Productions","USA","Alejandro González Iñárritu","Crime","16248701.0","R","2004-01-16",124,"7.7","Sean Penn","200427","Guillermo Arriaga",2003,559
"20","21 Jump Street",4.2e+07,"Columbia Pictures","USA","Phil Lord","Action","138447667.0","R","2012-03-16",110,"7.2","Jonah Hill","441919","Michael Bacall",2012,345
"21","22 Jump Street",5e+07,"Columbia Pictures","USA","Phil Lord","Action","191719337.0","R","2014-06-13",112,"7.1","Channing Tatum","288814","Michael Bacall",2014,322
"22","25th Hour",5e+06,"25th Hour Productions","USA","Spike Lee","Drama","13060843.0","R","2003-01-10",135,"7.7","Edward Norton","156154","David Benioff",2002,454
"23","27 Dresses",3e+07,"Fox 2000 Pictures","USA","Anne Fletcher","Comedy","76808654.0","PG-13","2008-01-18",111,"6.1","Katherine Heigl","133431","Aline Brosh McKenna",2008,154
"24","28 Days",4.3e+07,"Columbia Pictures Corporation","USA","Betty Thomas","Comedy","37170488.0","PG-13","2000-04-14",103,"6.0","Sandra Bullock","37015","Susannah Grant",2000,194
"25","28 Days Later...",8e+06,"DNA Films","UK","Danny Boyle","Drama","45064915.0","R","2003-06-27",113,"7.6","Cillian Murphy","320108","Alex Garland",2002,1441
"26","28 Weeks Later",1.5e+07,"Fox Atomic","UK","Juan Carlos Fresnadillo","Drama","28638916.0","R","2007-05-11",100,"7.0","Jeremy Renner","225731","Rowan Joffe",2007,713
"27","3 Days to Kill",2.8e+07,"EuropaCorp","USA","McG","Action","30697999.0","PG-13","2014-02-21",117,"6.2","Kevin Costner","75138","Adi Hasak",2014,211
"28","3 Men and a Baby",1.1e+07,"Interscope Communications","USA","Leonard Nimoy","Comedy","167780960.0","PG","1987-11-25",102,"5.9","Tom Selleck","39544","Coline Serreau",1987,42
"29","3 Ninjas Kick Back",2e+07,"Ben-Ami/Leeds Productions","USA","Charles T. Kanganis","Family","11784000.0","PG","1994-05-06",93,"4.4","Victor Wong","7189","Sang-ok Shin",1994,26
"30","3:10 to Yuma",5.5e+07,"Lionsgate","USA","James Mangold","Adventure","53606916.0","R","2007-09-07",122,"7.7","Russell Crowe","252471","Halsted Welles",2007,560
"31","30 Days of Night",3.2e+07,"Columbia Pictures","USA","David Slade","Horror","39568996.0","R","2007-10-19",113,"6.6","Josh Hartnett","146606","Steve Niles",2007,527
"32","300",6.5e+07,"Warner Bros.","USA","Zack Snyder","Action","210614939.0","R","2007-03-09",117,"7.7","Gerard Butler","648211","Zack Snyder",2006,2073
"33","300: Rise of an Empire",1.1e+08,"Warner Bros.","USA","Noam Murro","Action","106580051.0","R","2014-03-07",102,"6.2","Sullivan Stapleton","242932","Zack Snyder",2014,523
"34","3000 Miles to Graceland",6.2e+07,"Franchise Pictures","USA","Demian Lichtenstein","Action","15738632.0","R","2001-02-23",125,"5.9","Kurt Russell","39439","Richard Recco",2001,399
"35","40 Days and 40 Nights",1.7e+07,"Miramax","USA","Michael Lehmann","Comedy","37950822.0","R","2002-03-01",96,"5.6","Josh Hartnett","64465","Rob Perez",2002,207
"36","42",4e+07,"Warner Bros.","USA","Brian Helgeland","Biography","95001343.0","PG-13","2013-04-12",128,"7.5","Chadwick Boseman","71006","Brian Helgeland",2013,200
"37","47 Ronin",1.75e+08,"H2F Entertainment","USA","Carl Rinsch","Action","38362475.0","PG-13","2013-12-25",119,"6.3","Keanu Reeves","125778","Chris Morgan",2013,324
"38","50 First Dates",7.5e+07,"Columbia Pictures Corporation","USA","Peter Segal","Comedy","120908074.0","PG-13","2004-02-13",99,"6.8","Adam Sandler","283647","George Wing",2004,456
"39","50/50",8e+06,"Summit Entertainment","USA","Jonathan Levine","Comedy","35014192.0","R","2011-09-30",100,"7.7","Joseph Gordon-Levitt","285675","Will Reiser",2011,378
"40","500 Days of Summer",7500000,"Fox Searchlight Pictures","USA","Marc Webb","Comedy","32391374.0","PG-13","2009-08-07",95,"7.7","Zooey Deschanel","407875","Scott Neustadter",2009,494
"41","54",1.3e+07,"Dollface","USA","Mark Christopher","Drama","16574731.0","R","1998-08-28",93,"5.8","Ryan Phillippe","28791","Mark Christopher",1998,181
"42","8 Heads in a Duffel Bag",3e+06,"Orion Pictures","USA","Tom Schulman","Comedy","3559990.0","R","1997-04-18",95,"5.3","Joe Pesci","8398","Tom Schulman",1997,49
"43","8 Mile",4.1e+07,"Imagine Entertainment","USA","Curtis Hanson","Drama","116724075.0","R","2002-11-08",110,"7.0","Eminem","204990","Scott Silver",2002,564
"44","88 Minutes",3e+07,"Millennium Films","USA","Jon Avnet","Crime","16930884.0","R","2008-04-18",108,"5.9","Al Pacino","68510","Gary Scott Thompson",2007,262
"45","8MM",4e+07,"Columbia Pictures Corporation","Germany","Joel Schumacher","Mystery","36663315.0","R","1999-02-26",123,"6.5","Nicolas Cage","109400","Andrew Kevin Walker",1999,587
"46","9",3e+07,"Focus Features","USA","Shane Acker","Animation","31743332.0","PG-13","2009-09-09",79,"7.1","Elijah Wood","117268","Pamela Pettler",2009,245
"47","90 Minutes in Heaven",5e+06,"Astute Films","USA","Michael Polish","Drama","4700361.0","PG-13","2015-09-11",121,"4.7","Kate Bosworth","2631","Michael Polish",2015,29
"48","A Beautiful Mind",5.8e+07,"Universal Pictures","USA","Ron Howard","Biography","170742341.0","PG-13","2002-01-04",135,"8.2","Russell Crowe","681379","Akiva Goldsman",2001,1171
"49","A Bug's Life",1.2e+08,"Pixar Animation Studios","USA","John Lasseter","Animation","162798565.0","G","1998-11-25",95,"7.2","Kevin Spacey","226736","John Lasseter",1998,317
"50","A Christmas Carol",2e+08,"Walt Disney Pictures","USA","Robert Zemeckis","Animation","137855863.0","PG","2009-11-06",96,"6.8","Jim Carrey","80819","Robert Zemeckis",2009,249
"51","A Cinderella Story",2e+07,"Warner Bros.","USA","Mark Rosman","Comedy","51438175.0","PG","2004-07-16",95,"5.9","Hilary Duff","68595","Leigh Dunlap",2004,232
"52","A Civil Action",7.5e+07,"Touchstone Pictures","USA","Steven Zaillian","Drama","56702901.0","PG-13","1999-01-08",115,"6.5","John Travolta","24412","Jonathan Harr",1998,181
"53","A Few Good Men",4e+07,"Columbia Pictures Corporation","USA","Rob Reiner","Drama","141340178.0","R","1992-12-11",138,"7.7","Tom Cruise","196002","Aaron Sorkin",1992,319
"54","A Good Day to Die Hard",9.2e+07,"Twentieth Century Fox Film Corporation","USA","John Moore","Action","67349198.0","R","2013-02-14",98,"5.3","Bruce Willis","175817","Skip Woods",2013,503
"55","A Good Year",3.5e+07,"Fox 2000 Pictures","USA","Ridley Scott","Comedy","7458269.0","PG-13","2006-11-10",117,"6.9","Russell Crowe","76333","Marc Klein",2006,196
"56","A Guy Thing",2e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Chris Koch","Comedy","15408822.0","PG-13","2003-01-17",101,"5.6","Jason Lee","14915","Greg Glienna",2003,92
"57","A Haunted House",2500000,"Open Road Films","USA","Michael Tiddes","Comedy","40041683.0","R","2013-01-11",86,"5.1","Marlon Wayans","37158","Marlon Wayans",2013,107
"58","A Haunted House 2",4e+06,"Baby Way Productions","USA","Michael Tiddes","Comedy","17329486.0","R","2014-04-18",86,"4.7","Marlon Wayans","16194","Marlon Wayans",2014,48
"59","A History of Violence",3.2e+07,"New Line Cinema","USA","David Cronenberg","Crime","31493782.0","R","2005-09-30",96,"7.5","Viggo Mortensen","198947","John Wagner",2005,1125
"60","A Home at the End of the World",6500000,"Hart-Sharp Entertainment","USA","Michael Mayer","Drama","1029872.0","R","2004-10-14",97,"6.8","Colin Farrell","12420","Michael Cunningham",2004,135
"61","A Knight's Tale",6.5e+07,"Columbia Pictures Corporation","USA","Brian Helgeland","Action","56569702.0","PG-13","2001-05-11",132,"6.9","Heath Ledger","146093","Brian Helgeland",2001,658
"62","A League of Their Own",4e+07,"Columbia Pictures Corporation","USA","Penny Marshall","Comedy","107533928.0","PG","1992-07-01",128,"7.2","Tom Hanks","77047","Kim Wilson",1992,166
"63","A Lot Like Love",3e+07,"Touchstone Pictures","USA","Nigel Cole","Comedy","21835784.0","PG-13","2005-04-22",107,"6.6","Ashton Kutcher","61081","Colin Patrick Lynch",2005,161
"64","A Low Down Dirty Shame",1e+07,"Caravan Pictures","USA","Keenen Ivory Wayans","Action","29392418.0","R","1994-11-23",100,"5.9","Keenen Ivory Wayans","4331","Keenen Ivory Wayans",1994,26
"65","A Man Apart",3.6e+07,"""DIA"" Productions GmbH & Co. KG","USA","F. Gary Gray","Action","26183197.0","R","2003-04-04",109,"6.1","Vin Diesel","40381","Christian Gudegast",2003,135
"66","A Mighty Heart",1.6e+07,"Paramount Vantage","USA","Michael Winterbottom","Biography","9176787.0","R","2007-06-22",108,"6.7","Angelina Jolie","24917","John Orloff",2007,118
"67","A Million Ways to Die in the West",4e+07,"Bluegrass Films","USA","Seth MacFarlane","Comedy","43139300.0","R","2014-05-30",116,"6.1","Seth MacFarlane","147947","Seth MacFarlane",2014,416
"68","A Most Violent Year",2e+07,"Before The Door Pictures","USA","J.C. Chandor","Crime","5740310.0","R","2015-01-30",125,"7.0","Oscar Isaac","52607","J.C. Chandor",2014,180
"69","A Most Wanted Man",1.5e+07,"Lionsgate","UK","Anton Corbijn","Crime","17237244.0","R","2014-08-01",122,"6.8","Philip Seymour Hoffman","62647","Andrew Bovell",2014,158
"70","A Night at the Roxbury",1.7e+07,"Broadway Pictures","USA","John Fortenberry","Comedy","30324946.0","PG-13","1998-10-02",82,"6.2","Chris Kattan","50769","Steve Koren",1998,239
"71","A Nightmare on Elm Street",3.5e+07,"New Line Cinema","USA","Samuel Bayer","Horror","63075011.0","R","2010-04-30",95,"5.2","Jackie Earle Haley","79930","Wesley Strick",2010,668
"72","A Nightmare on Elm Street",3.5e+07,"New Line Cinema","USA","Samuel Bayer","Horror","63075011.0","R","2010-04-30",95,"5.2","Jackie Earle Haley","79930","Wesley Strick",2010,668
"73","A Nightmare on Elm Street 3: Dream Warriors",4500000,"New Line Cinema","USA","Chuck Russell","Action","44793222.0","R","1987-02-27",96,"6.6","Heather Langenkamp","55414","Wes Craven",1987,311
"74","A Nightmare on Elm Street 4: The Dream Master",1.3e+07,"New Line Cinema","USA","Renny Harlin","Horror","49369899.0","R","1988-08-19",93,"5.7","Robert Englund","39701","Wes Craven",1988,260
"75","A Nightmare on Elm Street 5: The Dream Child",6e+06,"New Line Cinema","USA","Stephen Hopkins","Fantasy","22168359.0","R","1989-08-11",89,"5.1","Robert Englund","32517","Wes Craven",1989,227
"76","A Perfect Getaway",1.4e+07,"Rogue","USA","David Twohy","Adventure","15483540.0","R","2009-08-07",98,"6.5","Milla Jovovich","59667","David Twohy",2009,215
"77","A Scanner Darkly",8700000,"Warner Independent Pictures (WIP)","USA","Richard Linklater","Animation","5501616.0","R","2006-07-28",100,"7.1","Keanu Reeves","94464","Philip K. Dick",2006,293
"78","A Separation",5e+05,"Asghar Farhadi Productions","Iran","Asghar Farhadi","Drama","7098492.0","PG-13","2012-04-20",123,"8.4","Payman Maadi","170427","Asghar Farhadi",2011,264
"79","A Serious Man",7e+06,"Focus Features","USA","Ethan Coen","Comedy","9190525.0","R","2009-11-06",106,"7.0","Michael Stuhlbarg","110208","Joel Coen",2009,324
"80","A Simple Plan",1.7e+07,"British Broadcasting Corporation (BBC)","UK","Sam Raimi","Crime","16311763.0","R","1999-01-22",121,"7.5","Bill Paxton","54106","Scott B. Smith",1998,416
"81","A Simple Wish",2.8e+07,"Universal Pictures","USA","Michael Ritchie","Comedy","8119205.0","PG","1997-07-11",89,"5.4","Martin Short","4549","Jeff Rothberg",1997,21
"82","A Single Man",7e+06,"Fade to Black Productions","USA","Tom Ford","Drama","9166863.0","R","2010-02-05",99,"7.6","Colin Firth","92447","Christopher Isherwood",2009,247
"83","A Sound of Thunder",8e+07,"Franchise Pictures","Czech Republic","Peter Hyams","Action","1891821.0","PG-13","2005-09-02",102,"4.2","Edward Burns","17129","Ray Bradbury",2005,301
"84","A Thin Line Between Love and Hate",8e+06,"Jackson/McHenry Company,The","USA","Martin Lawrence","Comedy","34746109.0","R","1996-04-03",108,"5.7","Martin Lawrence","3427","Martin Lawrence",1996,14
"85","A Thousand Words",4e+07,"DreamWorks","USA","Brian Robbins","Comedy","18438149.0","PG-13","2012-03-09",91,"5.9","Eddie Murphy","33384","Steve Koren",2012,93
"86","A Time to Kill",4e+07,"Regency Enterprises","USA","Joel Schumacher","Crime","108766007.0","R","1996-07-24",149,"7.4","Matthew McConaughey","108790","John Grisham",1996,236
"87","A Very Harold & Kumar 3D Christmas",1.9e+07,"New Line Cinema","USA","Todd Strauss-Schulson","Adventure","35033759.0","R","2011-11-04",90,"6.3","Kal Penn","58470","Jon Hurwitz",2011,93
"88","A Very Long Engagement",4.7e+07,"2003 Productions","France","Jean-Pierre Jeunet","Drama","6167817.0","R","2005-01-14",133,"7.7","Audrey Tautou","65330","Sébastien Japrisot",2004,239
"89","A Walk Among the Tombstones",2.8e+07,"1984 Private Defense Contractors","USA","Scott Frank","Crime","26307600.0","R","2014-09-19",114,"6.5","Liam Neeson","95753","Lawrence Block",2014,207
"90","A Walk on the Moon",1.4e+07,"Miramax","USA","Tony Goldwyn","Drama","4741987.0","R","1999-04-23",107,"6.6","Diane Lane","7083","Pamela Gray",1999,114
"91","A Walk to Remember",1.1e+07,"Warner Bros.","USA","Adam Shankman","Drama","41227069.0","PG","2002-01-25",101,"7.4","Mandy Moore","174670","Nicholas Sparks",2002,962
"92","A.I. Artificial Intelligence",1e+08,"Warner Bros.","USA","Steven Spielberg","Adventure","78616689.0","PG-13","2001-06-29",146,"7.1","Haley Joel Osment","255580","Brian Aldiss",2001,2153
"93","Abandon",2.5e+07,"Paramount Pictures","USA","Stephen Gaghan","Drama","10727683.0","PG-13","2002-10-18",99,"4.9","Katie Holmes","8168","Stephen Gaghan",2002,157
"94","Abduction",3.5e+07,"Lionsgate","USA","John Singleton","Action","28087155.0","PG-13","2011-09-23",106,"5.1","Taylor Lautner","68380","Shawn Christensen",2011,173
"95","About a Boy",3e+07,"Universal Pictures","UK","Chris Weitz","Comedy","41385278.0","PG-13","2002-05-17",101,"7.1","Hugh Grant","151125","Nick Hornby",2002,391
"96","About Last Night",12500000,"Screen Gems","USA","Steve Pink","Comedy","48637684.0","R","2014-02-14",100,"6.1","Kevin Hart","18519","Leslye Headland",2014,42
"97","About Schmidt",3e+07,"New Line Cinema","USA","Alexander Payne","Comedy","65016287.0","R","2003-01-03",125,"7.2","Jack Nicholson","112029","Louis Begley",2002,612
"98","About Time",1.2e+07,"Translux","UK","Richard Curtis","Comedy","15322921.0","R","2013-11-08",123,"7.8","Domhnall Gleeson","228554","Richard Curtis",2013,391
"99","Abraham Lincoln: Vampire Hunter",6.9e+07,"Abraham Productions","USA","Timur Bekmambetov","Action","37519139.0","R","2012-06-22",105,"5.9","Benjamin Walker","135188","Seth Grahame-Smith",2012,348
"100","Absolute Power",5e+07,"Castle Rock Entertainment","USA","Clint Eastwood","Action","50007168.0","R","1997-02-14",121,"6.7","Clint Eastwood","42417","David Baldacci",1997,142
"101","Ace Ventura: Pet Detective",1.2e+07,"Morgan Creek Productions","USA","Tom Shadyac","Comedy","72217000.0","PG-13","1994-02-04",86,"6.9","Jim Carrey","232964","Jack Bernstein",1994,242
"102","Ace Ventura: When Nature Calls",3e+07,"Morgan Creek Productions","USA","Steve Oedekerk","Adventure","108385533.0","PG-13","1995-11-10",90,"6.3","Jim Carrey","172305","Jack Bernstein",1995,178
"103","Across the Universe",4.5e+07,"Revolution Studios","USA","Julie Taymor","Drama","24343673.0","PG-13","2007-10-12",133,"7.4","Evan Rachel Wood","96537","Dick Clement",2007,524
"104","Across the Universe",4.5e+07,"Revolution Studios","USA","Julie Taymor","Drama","24343673.0","PG-13","2007-10-12",133,"7.4","Evan Rachel Wood","96537","Dick Clement",2007,524
"105","Act of Valor",1.2e+07,"Relativity Media","USA","Mike McCoy","Action","70012847.0","R","2012-02-24",110,"6.5","Alex Veadov","60703","Kurt Johnstad",2012,349
"106","Action Jackson",7e+06,"Lorimar Film Entertainment","USA","Craig R. Baxley","Action","20257000.0","R","1988-02-12",96,"5.2","Carl Weathers","8065","Robert Reneau",1988,65
"107","Adaptation.",1.9e+07,"Beverly Detroit","USA","Spike Jonze","Comedy","22245861.0","R","2003-02-14",114,"7.7","Nicolas Cage","153539","Susan Orlean",2002,710
"108","Addicted",5e+06,"Codeblack Entertainment","USA","Bille Woodruff","Drama","17382982.0","R","2014-10-10",106,"5.2","Sharon Leal","6772","Christina Welsh",2014,33
"109","Adore",1.6e+07,"Gaumont","Australia","Anne Fontaine","Drama","317125.0","R","2013-10-25",100,"6.2","Naomi Watts","26214","Anne Fontaine",2013,87
"110","After Earth",1.3e+08,"Columbia Pictures","USA","M. Night Shyamalan","Action","60522097.0","PG-13","2013-05-31",100,"4.9","Jaden Smith","169422","Gary Whitta",2013,744
"111","After the Sunset",5.8e+07,"New Line Cinema","USA","Brett Ratner","Action","28328132.0","PG-13","2004-11-12",97,"6.3","Pierce Brosnan","40092","Paul Zbyszewski",2004,147
"112","After.Life",4500000,"Lleju Productions","USA","Agnieszka Wojtowicz-Vosloo","Drama","108229.0","R","2011-06-24",100,"5.9","Christina Ricci","32597","Agnieszka Wojtowicz-Vosloo",2009,137
"113","Agent Cody Banks",2.6e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Harald Zwart","Action","47811138.0","PG","2003-03-14",102,"5.0","Frankie Muniz","28662","Ashley Miller",2003,104
"114","Agent Cody Banks 2: Destination London",2.6e+07,"Dylan Sellers Productions","USA","Kevin Allen","Action","23222861.0","PG","2004-03-12",100,"4.5","Frankie Muniz","12029","Jeffrey Jurgensen",2004,44
"115","Agora",7e+07,"Mod Producciones","Spain","Alejandro Amenábar","Adventure","617840.0","R","2010-09-10",127,"7.2","Rachel Weisz","56850","Alejandro Amenábar",2009,172
"116","Air Bud",3e+06,"Walt Disney Pictures","USA","Charles Martin Smith","Comedy","24629916.0","PG","1997-08-01",98,"5.1","Michael Jeter","13907","Kevin DiCicco",1997,34
"117","Air Force One",8.5e+07,"Columbia Pictures Corporation","USA","Wolfgang Petersen","Action","172956409.0","R","1997-07-25",124,"6.5","Harrison Ford","155674","Andrew W. Marlowe",1997,393
"118","Airborne",2600000,"Icon Entertainment International","USA","Rob Bowman","Adventure","2850263.0","PG","1993-09-17",91,"6.2","Shane McDermott","5414","Bill Apablasa",1993,70
"119","Aladdin",2.8e+07,"Walt Disney Pictures","USA","Ron Clements","Animation","217350219.0","G","1992-11-25",90,"8.0","Scott Weinger","287068","Ron Clements",1992,244
"120","Albert Nobbs",8e+06,"Mockingbird Pictures","UK","Rodrigo García","Drama","3014696.0","R","2012-06-08",113,"6.7","Glenn Close","20844","Gabriella Prekop",2011,98
"121","Albino Alligator",5e+06,"Albino Alligator Productions","USA","Kevin Spacey","Crime","326308.0","R","1997-01-17",97,"6.1","Matt Dillon","6912","Christian Forte",1996,69
"122","Alex & Emma",3e+07,"Epsilon Motion Pictures","USA","Rob Reiner","Comedy","14208384.0","PG-13","2003-06-20",100,"5.6","Luke Wilson","11953","Jeremy Leven",2003,105
"123","Alex Cross",3.5e+07,"Block / Hanson","USA","Rob Cohen","Action","25888412.0","PG-13","2012-10-19",101,"5.1","Tyler Perry","29622","Marc Moss",2012,151
"124","Alex Rider: Operation Stormbreaker",4e+07,"Samuelson Productions","UK","Geoffrey Sax","Action","652526.0","PG","2006-10-13",93,"5.1","Alex Pettyfer","21238","Anthony Horowitz",2006,187
"125","Alexander",1.55e+08,"Warner Bros.","Germany","Oliver Stone","Action","34297191.0","R","2004-11-24",175,"5.5","Colin Farrell","146107","Oliver Stone",2004,1390
"126","Alexander and the Terrible, Horrible, No Good, Very Bad Day",2.8e+07,"Walt Disney Pictures","USA","Miguel Arteta","Comedy","66954149.0","PG","2014-10-10",81,"6.2","Steve Carell","33226","Rob Lieber",2014,85
"127","Alfie",6e+07,"Paramount Pictures","UK","Charles Shyer","Comedy","13399812.0","R","2004-11-05",103,"6.2","Jude Law","45684","Bill Naughton",2004,146
"128","Ali",1.07e+08,"Columbia Pictures Corporation","USA","Michael Mann","Biography","58203105.0","R","2001-12-25",157,"6.8","Will Smith","83314","Gregory Allen Howard",2001,386
"129","Alice in Wonderland",2e+08,"Walt Disney Pictures","USA","Tim Burton","Adventure","334191110.0","PG","2010-03-05",108,"6.5","Mia Wasikowska","331389","Linda Woolverton",2010,736
"130","Alice in Wonderland",2e+08,"Walt Disney Pictures","USA","Tim Burton","Adventure","334191110.0","PG","2010-03-05",108,"6.5","Mia Wasikowska","331389","Linda Woolverton",2010,736
"131","Alice Through the Looking Glass",1.7e+08,"Walt Disney Pictures","USA","James Bobin","Adventure","77042381.0","PG","2016-05-27",113,"6.2","Mia Wasikowska","62895","Linda Woolverton",2016,131
"132","Alien 3",5e+07,"Twentieth Century Fox Film Corporation","USA","David Fincher","Action","55473600.0","R","1992-05-22",114,"6.4","Sigourney Weaver","231709","Dan O'Bannon",1992,776
"133","Aliens",18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action","85160248.0","R","1986-07-18",137,"8.4","Sigourney Weaver","540152","James Cameron",1986,1076
"134","Aliens in the Attic",4.5e+07,"Twentieth Century Fox Film Corporation","USA","John Schultz","Animation","25200412.0","PG","2009-07-31",86,"5.4","Ashley Tisdale","17909","Mark Burton",2009,55
"135","Aliens vs. Predator: Requiem",4e+07,"Twentieth Century Fox Film Corporation","USA","Colin Strause","Action","41797066.0","R","2007-12-25",94,"4.7","Reiko Aylesworth","100087","Shane Salerno",2007,998
"136","Alive",3.2e+07,"Film Andes S.A.","USA","Frank Marshall","Adventure","36733909.0","R","1993-01-15",120,"7.1","Ethan Hawke","42086","Piers Paul Read",1993,112
"137","All About Steve",1.5e+07,"Fox 2000 Pictures","USA","Phil Traill","Comedy","33860010.0","PG-13","2009-09-04",99,"4.8","Sandra Bullock","34902","Kim Barker",2009,143
"138","All About the Benjamins",1.4e+07,"New Line Cinema","USA","Kevin Bray","Action","25482931.0","R","2002-03-08",95,"5.8","Ice Cube","10283","Ronald Lang",2002,33
"139","All Is Lost",9e+06,"Before The Door Pictures","USA","J.C. Chandor","Action","6263670.0","PG-13","2013-11-07",106,"6.9","Robert Redford","64524","J.C. Chandor",2013,312
"140","All or Nothing",9e+06,"Les Films Alain Sarde","UK","Mike Leigh","Drama","121756.0","R","2003-05-16",128,"7.6","Timothy Spall","8613","Mike Leigh",2002,94
"141","All the King's Men",5.5e+07,"Columbia Pictures Corporation","Germany","Steven Zaillian","Drama","7221458.0","PG-13","2006-09-22",128,"6.2","Sean Penn","21583","Steven Zaillian",2006,178
"142","All the Pretty Horses",5.7e+07,"Columbia Pictures Corporation","USA","Billy Bob Thornton","Drama","15527125.0","PG-13","2000-12-25",116,"5.8","Matt Damon","11851","Cormac McCarthy",2000,183
"143","All the Real Girls",2500000,"Jasmine Productions Inc.","USA","David Gordon Green","Drama","548712.0","R","2003-08-01",108,"6.9","Zooey Deschanel","9474","David Gordon Green",2003,126
"144","Allegiant",1.1e+08,"Mandeville Films","USA","Robert Schwentke","Action","66002193.0","PG-13","2016-03-18",120,"5.7","Shailene Woodley","76550","Noah Oppenheim",2016,144
"145","Almost Famous",6e+07,"Columbia Pictures","USA","Cameron Crowe","Adventure","32534850.0","R","2000-09-22",122,"7.9","Billy Crudup","220062","Cameron Crowe",2000,822
"146","Aloha",3.7e+07,"Columbia Pictures","USA","Cameron Crowe","Comedy","20991497.0","PG-13","2015-05-29",105,"5.4","Bradley Cooper","46828","Cameron Crowe",2015,172
"147","Aloha",3.7e+07,"Columbia Pictures","USA","Cameron Crowe","Comedy","20991497.0","PG-13","2015-05-29",105,"5.4","Bradley Cooper","46828","Cameron Crowe",2015,172
"148","Alone in the Dark",2e+07,"AITD Productions","Canada","Uwe Boll","Action","5178569.0","R","2005-01-28",99,"2.3","Christian Slater","38854","Elan Mastai",2005,521
"149","Along Came a Spider",6e+07,"Paramount Pictures","USA","Lee Tamahori","Drama","74078174.0","R","2001-04-06",104,"6.3","Morgan Freeman","62868","James Patterson",2001,317
"150","Along Came Polly",4.2e+07,"Universal Pictures","USA","John Hamburg","Comedy","88097164.0","PG-13","2004-01-16",90,"5.9","Ben Stiller","111747","John Hamburg",2004,268
