"","name","budget","company","country","director","genre","gross","rating","released","runtime","score","star","votes","writer","year","number of reviews"
"1039","Hero",4.2e+07,"Columbia Pictures Corporation","USA","Stephen Frears","Comedy","19507345.0","PG-13","1992-10-02",119,"6.5","Dustin Hoffman","18627","Laura Ziskin",1992,841
"1040","Hero",4.2e+07,"Columbia Pictures Corporation","USA","Stephen Frears","Comedy","19507345.0","PG-13","1992-10-02",119,"6.5","Dustin Hoffman","18627","Laura Ziskin",1992,841
"1041","Hero",3.1e+07,"Beijing New Picture Film Co.","China","Yimou Zhang","Action","53710019.0","PG-13","2004-08-27",107,"7.9","Jet Li","157335","Feng Li",2002,841
"1042","Hero",3.1e+07,"Beijing New Picture Film Co.","China","Yimou Zhang","Action","53710019.0","PG-13","2004-08-27",107,"7.9","Jet Li","157335","Feng Li",2002,841
"1043","Hesher",7e+06,"Last Picture Company, The","USA","Spencer Susser","Comedy","382946.0","R","2011-06-25",106,"7.1","Joseph Gordon-Levitt","46153","Spencer Susser",2010,99
"1044","Hey Arnold! The Movie",3e+06,"Paramount Pictures","USA","Tuck Tucker","Animation","13684949.0","PG","2002-06-28",76,"5.9","Spencer Klein","5065","Craig Bartlett",2002,43
"1045","Hidalgo",1e+08,"Touchstone Pictures","USA","Joe Johnston","Action","67286731.0","PG-13","2004-03-05",136,"6.7","Viggo Mortensen","70672","John Fusco",2004,345
"1046","Hide and Seek",3e+07,"Twentieth Century Fox Film Corporation","USA","John Polson","Drama","51100486.0","R","2005-01-28",101,"5.9","Robert De Niro","73932","Ari Schlossberg",2005,450
"1047","High Crimes",4.2e+07,"Twentieth Century Fox Film Corporation","USA","Carl Franklin","Crime","41543207.0","PG-13","2002-04-05",115,"6.3","Jim Caviezel","32605","Joseph Finder",2002,175
"1048","High Fidelity",3e+07,"Touchstone Pictures","UK","Stephen Frears","Comedy","27277055.0","R","2000-03-31",113,"7.5","John Cusack","150311","Nick Hornby",2000,602
"1049","High School Musical 3: Senior Year",1.1e+07,"Walt Disney Pictures","USA","Kenny Ortega","Comedy","90559416.0","G","2008-10-24",112,"4.6","Zac Efron","47545","Peter Barsocchini",2008,171
"1050","Highlander",1.6e+07,"Thorn EMI Screen Entertainment","UK","Russell Mulcahy","Action","5900000.0","R","1986-03-07",116,"7.2","Christopher Lambert","104860","Gregory Widen",1986,316
"1051","Highlander: Endgame",2.5e+07,"Davis-Panzer Productions","USA","Douglas Aarniokoski","Action","12801190.0","R","2000-09-01",87,"4.6","Christopher Lambert","17216","Gregory Widen",2000,355
"1052","Highlander: The Final Dimension",2.6e+07,"Fallingcloud","Canada","Andrew Morahan","Action","13829734.0","PG-13","1995-01-27",99,"4.3","Christopher Lambert","17307","Gregory Widen",1994,79
"1053","Hit and Run",2e+06,"Exclusive Media Group","USA","David Palmer","Action","13746550.0","R","2012-08-22",100,"6.1","Dax Shepard","30897","Dax Shepard",2012,104
"1054","Hitch",7e+07,"Columbia Pictures Corporation","USA","Andy Tennant","Comedy","179495555.0","PG-13","2005-02-11",118,"6.6","Will Smith","259673","Kevin Bisch",2005,372
"1055","Hobo with a Shotgun",3e+06,"Rhombus Media","Canada","Jason Eisener","Action","703002.0","NOT RATED","2011-05-12",86,"6.1","Rutger Hauer","39392","John Davies",2011,230
"1056","Hocus Pocus",2.8e+07,"Rhythm & Hues Studios","USA","Kenny Ortega","Comedy","39514713.0","PG","1993-07-16",96,"6.7","Bette Midler","67192","David Kirschner",1993,132
"1057","Hoffa",3.5e+07,"Twentieth Century Fox Film Corporation","USA","Danny DeVito","Biography","24276500.0","R","1992-12-25",140,"6.6","Jack Nicholson","18198","David Mamet",1992,68
"1058","Holes",2e+07,"Walt Disney Pictures","USA","Andrew Davis","Adventure","67406573.0","PG","2003-04-18",117,"7.1","Shia LaBeouf","63052","Louis Sachar",2003,331
"1059","Hollow Man",9.5e+07,"Columbia Pictures Corporation","USA","Paul Verhoeven","Action","73209340.0","R","2000-08-04",112,"5.7","Kevin Bacon","107767","Gary Scott Thompson",2000,628
"1060","Hollywood Ending",1.6e+07,"DreamWorks","USA","Woody Allen","Comedy","4839383.0","PG-13","2002-05-03",112,"6.6","Woody Allen","23072","Woody Allen",2002,148
"1061","Hollywood Homicide",7.5e+07,"Revolution Studios","USA","Ron Shelton","Action","30013346.0","PG-13","2003-06-13",116,"5.3","Harrison Ford","32542","Robert Souza",2003,254
"1062","Hollywood Shuffle",1e+05,"Conquering Unicorn","USA","Robert Townsend","Comedy","5228617.0","R","1987-03-20",78,"7.0","Robert Townsend","3009","Robert Townsend",1987,32
"1063","Holy Man",6e+07,"Caravan Pictures","USA","Stephen Herek","Comedy","12065985.0","PG","1998-10-09",114,"4.9","Eddie Murphy","17120","Tom Schulman",1998,88
"1064","Home",1.35e+08,"DreamWorks Animation","USA","Tim Johnson","Animation","177397510.0","PG","2015-03-27",94,"6.7","Jim Parsons","79374","Tom J. Astle",2015,214
"1065","Home",1.35e+08,"DreamWorks Animation","USA","Tim Johnson","Animation","177397510.0","PG","2015-03-27",94,"6.7","Jim Parsons","79374","Tom J. Astle",2015,214
"1066","Home",1.35e+08,"DreamWorks Animation","USA","Tim Johnson","Animation","177397510.0","PG","2015-03-27",94,"6.7","Jim Parsons","79374","Tom J. Astle",2015,214
